CustomerID,CustomerName,CustomerPhoneNumber,CustomerFaxNumber,CustomerCategory,CustomerBuyingGroup,CustomerCity,CustomerStateProvinceCode,CustomerStateProvince,CustomerCountry,CustomerContinent,CustomerRegion,CustomerSubregion
912,Volkan senturk,(276) 555-0100,(276) 555-0101,Computer Store,,Wyndham,VA,Virginia,United States,North America,Americas,Northern America
913,Violetta KlanCisar,(225) 555-0100,(225) 555-0101,Supermarket,,Bayou Cane,LA,Louisiana,United States,North America,Americas,Northern America
914,Chandana Shasthri,(803) 555-0100,(803) 555-0101,Supermarket,,Nesmith,SC,South Carolina,United States,North America,Americas,Northern America
915,Ana Florea,(210) 555-0100,(210) 555-0101,Corporate,,Buchanan Lake Village,TX,Texas,United States,North America,Americas,Northern America
916,Pinja Jantunen,(308) 555-0100,(308) 555-0101,Gift Store,,Nehawka,NE,Nebraska,United States,North America,Americas,Northern America
917,Pari Hosseini,(505) 555-0100,(505) 555-0101,Novelty Shop,,Soham,NM,New Mexico,United States,North America,Americas,Northern America
918,Isidora Morales,(406) 555-0100,(406) 555-0101,Novelty Shop,,Twodot,MT,Montana,United States,North America,Americas,Northern America
919,Kertu Sokk,(212) 555-0100,(212) 555-0101,Computer Store,,Greig,NY,New York,United States,North America,Americas,Northern America
920,Gayatri Gajula,(212) 555-0100,(212) 555-0101,Computer Store,,Shenorock,NY,New York,United States,North America,Americas,Northern America
921,Victoria Lacusta,(212) 555-0100,(212) 555-0101,Supermarket,,Conewango,NY,New York,United States,North America,Americas,Northern America
922,Sumati Chatterjee,(231) 555-0100,(231) 555-0101,Gift Store,,North Muskegon,MI,Michigan,United States,North America,Americas,Northern America
923,Tai Bach,(219) 555-0100,(219) 555-0101,Novelty Shop,,Fortville,IN,Indiana,United States,North America,Americas,Northern America
924,Eva Schulteisz,(252) 555-0100,(252) 555-0101,Novelty Shop,,Hightsville,NC,North Carolina,United States,North America,Americas,Northern America
925,Can ozcan,(215) 555-0100,(215) 555-0101,Corporate,,Oley,PA,Pennsylvania,United States,North America,Americas,Northern America
926,Richard Friar,(339) 555-0100,(339) 555-0101,Corporate,,North Eastham,MA,Massachusetts[E],United States,North America,Americas,Northern America
927,Matyas Sedlar,(270) 555-0100,(270) 555-0101,Novelty Shop,,Calvert City,KY,Kentucky,United States,North America,Americas,Northern America
928,Arijit Bhuiyan,(212) 555-0100,(212) 555-0101,Computer Store,,Esopus,NY,New York,United States,North America,Americas,Northern America
929,Vladimir Henzl,(907) 555-0100,(907) 555-0101,Supermarket,,Port Chilkoot,AK,Alaska,United States,North America,Americas,Northern America
930,Shantanu Huq,(252) 555-0100,(252) 555-0101,Gift Store,,Cramerton,NC,North Carolina,United States,North America,Americas,Northern America
931,Nada Jovanovic,(215) 555-0100,(215) 555-0101,Corporate,,North York,PA,Pennsylvania,United States,North America,Americas,Northern America
932,Nicolo Cattaneo,(212) 555-0100,(212) 555-0101,Corporate,,Schoharie,NY,New York,United States,North America,Americas,Northern America
933,Joel Carrillo,(405) 555-0100,(405) 555-0101,Computer Store,,Drumright,OK,Oklahoma,United States,North America,Americas,Northern America
934,Ivan Sepulveda,(218) 555-0100,(218) 555-0101,Novelty Shop,,Northrop,MN,Minnesota,United States,North America,Americas,Northern America
935,Daevasree Samavedam,(201) 555-0100,(201) 555-0101,Corporate,,Golf View,NJ,New Jersey,United States,North America,Americas,Northern America
936,Ludmila Smidova,(480) 555-0100,(480) 555-0101,Novelty Shop,,Tempe,AZ,Arizona,United States,North America,Americas,Northern America
937,Manca Hrastovsek,(205) 555-0100,(205) 555-0101,Gift Store,,Southside,AL,Alabama,United States,North America,Americas,Northern America
938,Anna Gyarmathi,(252) 555-0100,(252) 555-0101,Novelty Shop,,Kannapolis,NC,North Carolina,United States,North America,Americas,Northern America
939,Ioana Florea,(339) 555-0100,(339) 555-0101,Supermarket,,Nahant,MA,Massachusetts[E],United States,North America,Americas,Northern America
940,Lorin Astrom,(210) 555-0100,(210) 555-0101,Gift Store,,Port Alto,TX,Texas,United States,North America,Americas,Northern America
941,Bishwa Chatterjee,(239) 555-0100,(239) 555-0101,Novelty Shop,,Lake Clarke Shores,FL,Florida,United States,North America,Americas,Northern America
942,Chaayaadaevi Sonti,(217) 555-0100,(217) 555-0101,Corporate,,Roachtown,IL,Illinois,United States,North America,Americas,Northern America
943,Drazenka Jelic,(803) 555-0100,(803) 555-0101,Novelty Shop,,Cherry Grove Beach,SC,South Carolina,United States,North America,Americas,Northern America
944,Ida Celma,(319) 555-0100,(319) 555-0101,Novelty Shop,,Hawarden,IA,Iowa,United States,North America,Americas,Northern America
945,Hoc Tran,(339) 555-0100,(339) 555-0101,Computer Store,,White Horse Beach,MA,Massachusetts[E],United States,North America,Americas,Northern America
946,David safranek,(215) 555-0100,(215) 555-0101,Supermarket,,Toughkenamon,PA,Pennsylvania,United States,North America,Americas,Northern America
947,Svetlana Todorovic,(206) 555-0100,(206) 555-0101,Supermarket,,Venersborg,WA,Washington,United States,North America,Americas,Northern America
948,Richard Zahradnicek,(314) 555-0100,(314) 555-0101,Supermarket,,Jane,MO,Missouri,United States,North America,Americas,Northern America
949,Seo-yun Paik,(210) 555-0100,(210) 555-0101,Corporate,,Jones Creek,TX,Texas,United States,North America,Americas,Northern America
950,Emily Whittle,(231) 555-0100,(231) 555-0101,Corporate,,Huntington Woods,MI,Michigan,United States,North America,Americas,Northern America
951,Eliza Persson,(209) 555-0100,(209) 555-0101,Supermarket,,Jesmond Dene,CA,California,United States,North America,Americas,Northern America
952,Chuan Wattanasin,(217) 555-0100,(217) 555-0101,Novelty Shop,,Flanagan,IL,Illinois,United States,North America,Americas,Northern America
953,Linh Dao,(228) 555-0100,(228) 555-0101,Supermarket,,Mashulaville,MS,Mississippi,United States,North America,Americas,Northern America
954,Nasrin Omidzadeh,(239) 555-0100,(239) 555-0101,Supermarket,,Mary Esther,FL,Florida,United States,North America,Americas,Northern America
955,Raghu Sandhu,(240) 555-0100,(240) 555-0101,Novelty Shop,,Bowleys Quarters,MD,Maryland,United States,North America,Americas,Northern America
956,Nhung Thach,(480) 555-0100,(480) 555-0101,Computer Store,,Red Mesa,AZ,Arizona,United States,North America,Americas,Northern America
957,Hee-Young Suh,(209) 555-0100,(209) 555-0101,Novelty Shop,,Nicasio,CA,California,United States,North America,Americas,Northern America
958,Valentin Tirlea,(210) 555-0100,(210) 555-0101,Gift Store,,Pharr,TX,Texas,United States,North America,Americas,Northern America
959,Dhaatri Chavva,(207) 555-0100,(207) 555-0101,Novelty Shop,,Edgecomb,ME,Maine,United States,North America,Americas,Northern America
960,Edgar Jogi,(209) 555-0100,(209) 555-0101,Computer Store,,Bombay Beach,CA,California,United States,North America,Americas,Northern America
961,Rani Ganguly,(209) 555-0100,(209) 555-0101,Gift Store,,Arrowhead Highlands,CA,California,United States,North America,Americas,Northern America
962,Bhagavati Vinjamuri,(319) 555-0100,(319) 555-0101,Supermarket,,Ewart,IA,Iowa,United States,North America,Americas,Northern America
963,Be Trang,(405) 555-0100,(405) 555-0101,Corporate,,Watonga,OK,Oklahoma,United States,North America,Americas,Northern America
964,Ingrida Zeltina,(239) 555-0100,(239) 555-0101,Supermarket,,Trilby,FL,Florida,United States,North America,Americas,Northern America
965,Phoung Cu,(208) 555-0100,(208) 555-0101,Corporate,,McCall,ID,Idaho,United States,North America,Americas,Northern America
966,Sara Walkky,(303) 555-0100,(303) 555-0101,Supermarket,,Chipita Park,CO,Colorado,United States,North America,Americas,Northern America
967,Meera Patel,(217) 555-0100,(217) 555-0101,Gift Store,,Hanaford,IL,Illinois,United States,North America,Americas,Northern America
968,Anca Gogean,(209) 555-0100,(209) 555-0101,Corporate,,Arrowbear Lake,CA,California,United States,North America,Americas,Northern America
969,Staffan Persson,(314) 555-0100,(314) 555-0101,Computer Store,,Phelps City,MO,Missouri,United States,North America,Americas,Northern America
970,Isidora Urias,(239) 555-0100,(239) 555-0101,Novelty Shop,,Bratt,FL,Florida,United States,North America,Americas,Northern America
971,Dhanishta Mokkapati,(907) 555-0100,(907) 555-0101,Corporate,,Iliamna,AK,Alaska,United States,North America,Americas,Northern America
972,Lakshmi Benipal,(209) 555-0100,(209) 555-0101,Computer Store,,Lompoc,CA,California,United States,North America,Americas,Northern America
973,Kumar Kamei,(304) 555-0100,(304) 555-0101,Novelty Shop,,Middleway,WV,West Virginia,United States,North America,Americas,Northern America
974,Emil Roman,(210) 555-0100,(210) 555-0101,Computer Store,,Kopperl,TX,Texas,United States,North America,Americas,Northern America
975,Prabodh Nair,(605) 555-0100,(605) 555-0101,Novelty Shop,,Tschetter Colony,SD,South Dakota,United States,North America,Americas,Northern America
976,Alinne Matos,(229) 555-0100,(229) 555-0101,Computer Store,,Sea Island,GA,Georgia,United States,North America,Americas,Northern America
977,Mauno Laurila,(216) 555-0100,(216) 555-0101,Novelty Shop,,North Eaton,OH,Ohio,United States,North America,Americas,Northern America
978,Baalaamjali Devulapalli,(505) 555-0100,(505) 555-0101,Supermarket,,Puerto de Luna,NM,New Mexico,United States,North America,Americas,Northern America
979,Melani Ravlen,(405) 555-0100,(405) 555-0101,Corporate,,Cookietown,OK,Oklahoma,United States,North America,Americas,Northern America
980,Om Yadav,(262) 555-0100,(262) 555-0101,Novelty Shop,,Lunds,WI,Wisconsin,United States,North America,Americas,Northern America
981,Mahmut ozbek,(339) 555-0100,(339) 555-0101,Gift Store,,Bernardston,MA,Massachusetts[E],United States,North America,Americas,Northern America
982,Yves Belisle,(480) 555-0100,(480) 555-0101,Supermarket,,Walapai,AZ,Arizona,United States,North America,Americas,Northern America
983,Sabine Alksne,(479) 555-0100,(479) 555-0101,Supermarket,,Grannis,AR,Arkansas,United States,North America,Americas,Northern America
984,Kamala Nishad,(201) 555-0100,(201) 555-0101,Corporate,,Haddon Heights,NJ,New Jersey,United States,North America,Americas,Northern America
985,Roko Ilic,(262) 555-0100,(262) 555-0101,Corporate,,Grantsburg,WI,Wisconsin,United States,North America,Americas,Northern America
986,Neil Farrelly,(215) 555-0100,(215) 555-0101,Novelty Shop,,Sabinsville,PA,Pennsylvania,United States,North America,Americas,Northern America
987,Akhil Nadar,(479) 555-0100,(479) 555-0101,Supermarket,,Schaal,AR,Arkansas,United States,North America,Americas,Northern America
988,Maksims Krastins,(304) 555-0100,(304) 555-0101,Gift Store,,Lorentz,WV,West Virginia,United States,North America,Americas,Northern America
989,Milinka Zujovic,(316) 555-0100,(316) 555-0101,Gift Store,,Zurich,KS,Kansas,United States,North America,Americas,Northern America
990,Andris Saulitis,(210) 555-0100,(210) 555-0101,Corporate,,El Refugio,TX,Texas,United States,North America,Americas,Northern America
991,Valter Viiding,(216) 555-0100,(216) 555-0101,Supermarket,,Cuyahoga Heights,OH,Ohio,United States,North America,Americas,Northern America
992,Amarakumaar Gadiyaram,(303) 555-0100,(303) 555-0101,Novelty Shop,,Vollmar,CO,Colorado,United States,North America,Americas,Northern America
993,Gasper Havzija,(314) 555-0100,(314) 555-0101,Gift Store,,Shell Knob,MO,Missouri,United States,North America,Americas,Northern America
994,Libuse Kuchtova,(210) 555-0100,(210) 555-0101,Supermarket,,Van Alstyne,TX,Texas,United States,North America,Americas,Northern America
995,Kumar Naicker,(262) 555-0100,(262) 555-0101,Novelty Shop,,Oconto Falls,WI,Wisconsin,United States,North America,Americas,Northern America
996,Laszlo Gardenier,(215) 555-0100,(215) 555-0101,Gift Store,,Marion Hill,PA,Pennsylvania,United States,North America,Americas,Northern America
997,Nada Ana Slosar,(239) 555-0100,(239) 555-0101,Supermarket,,Cloud Lake,FL,Florida,United States,North America,Americas,Northern America
998,Mahavir Sonkar,(505) 555-0100,(505) 555-0101,Computer Store,,Pastura,NM,New Mexico,United States,North America,Americas,Northern America
999,Kristi Part,(702) 555-0100,(702) 555-0101,Supermarket,,Yerington,NV,Nevada,United States,North America,Americas,Northern America
1000,Krishnam Allu,(405) 555-0100,(405) 555-0101,Novelty Shop,,Catesby,OK,Oklahoma,United States,North America,Americas,Northern America
1001,Dinh Mai,(210) 555-0100,(210) 555-0101,Computer Store,,Dorchester,TX,Texas,United States,North America,Americas,Northern America
1002,Stefan Selezeanu,(212) 555-0100,(212) 555-0101,Computer Store,,Copake,NY,New York,United States,North America,Americas,Northern America
1003,Hue Ton,(252) 555-0100,(252) 555-0101,Supermarket,,Holden Beach,NC,North Carolina,United States,North America,Americas,Northern America
1004,Drishti Bose,(479) 555-0100,(479) 555-0101,Gift Store,,Wesson,AR,Arkansas,United States,North America,Americas,Northern America
1005,Bhadram Kamasamudram,(802) 555-0100,(802) 555-0101,Novelty Shop,,Wells,VT,Vermont,United States,North America,Americas,Northern America
1006,Taj Syme,(216) 555-0100,(216) 555-0101,Novelty Shop,,Oakshade,OH,Ohio,United States,North America,Americas,Northern America
1007,Irma Berzina,(458) 555-0100,(458) 555-0101,Corporate,,Newberg,OR,Oregon,United States,North America,Americas,Northern America
1008,Vedrana Kovacevic,(479) 555-0100,(479) 555-0101,Novelty Shop,,Reader,AR,Arkansas,United States,North America,Americas,Northern America
1009,Bhagavateeprasaad Malladi,(479) 555-0100,(479) 555-0101,Computer Store,,Greenfield,AR,Arkansas,United States,North America,Americas,Northern America
1010,Serdar ozCelik,(210) 555-0100,(210) 555-0101,Supermarket,,Dawn,TX,Texas,United States,North America,Americas,Northern America
1011,Rajeev Sandhu,(458) 555-0100,(458) 555-0101,Gift Store,,Wasco,OR,Oregon,United States,North America,Americas,Northern America
1012,Urve Kasesalu,(319) 555-0100,(319) 555-0101,Corporate,,Cherokee,IA,Iowa,United States,North America,Americas,Northern America
1013,Annette  Hetu,(405) 555-0100,(405) 555-0101,Computer Store,,Hanna,OK,Oklahoma,United States,North America,Americas,Northern America
1014,Narendra Tickoo,(803) 555-0100,(803) 555-0101,Novelty Shop,,Dillon,SC,South Carolina,United States,North America,Americas,Northern America
1015,Isa Hulsegge,(252) 555-0100,(252) 555-0101,Computer Store,,Saxapahaw,NC,North Carolina,United States,North America,Americas,Northern America
1016,Aive Petrov,(316) 555-0100,(316) 555-0101,Supermarket,,Virgil,KS,Kansas,United States,North America,Americas,Northern America
1017,David Novacek ,(423) 555-0100,(423) 555-0101,Gift Store,,Corryton,TN,Tennessee,United States,North America,Americas,Northern America
1018,Nils Kaulins,(406) 555-0100,(406) 555-0101,Computer Store,,Greycliff,MT,Montana,United States,North America,Americas,Northern America
1019,Dhanishta Pullela,(304) 555-0100,(304) 555-0101,Novelty Shop,,Gallipolis Ferry,WV,West Virginia,United States,North America,Americas,Northern America
1020,Hai Banh,(252) 555-0100,(252) 555-0101,Computer Store,,Claremont,NC,North Carolina,United States,North America,Americas,Northern America
1021,Fabrice Cloutier,(252) 555-0100,(252) 555-0101,Supermarket,,Staley,NC,North Carolina,United States,North America,Americas,Northern America
1022,Nadir Seddigh,(907) 555-0100,(907) 555-0101,Computer Store,,Biorka,AK,Alaska,United States,North America,Americas,Northern America
1023,Farzana Habibi,(219) 555-0100,(219) 555-0101,Corporate,,Brookville,IN,Indiana,United States,North America,Americas,Northern America
1024,Arka Chatterjee,(303) 555-0100,(303) 555-0101,Supermarket,,Byers,CO,Colorado,United States,North America,Americas,Northern America
1025,Tuulikki Linna,(217) 555-0100,(217) 555-0101,Gift Store,,Otterville,IL,Illinois,United States,North America,Americas,Northern America
1026,Daniella Cavalcante,(405) 555-0100,(405) 555-0101,Computer Store,,Ravia,OK,Oklahoma,United States,North America,Americas,Northern America
1027,Serdar ozden,(319) 555-0100,(319) 555-0101,Corporate,,Richland,IA,Iowa,United States,North America,Americas,Northern America
1028,Emma Van Zant,(303) 555-0100,(303) 555-0101,Gift Store,,Wray,CO,Colorado,United States,North America,Americas,Northern America
1029,Veronika Necesana,(218) 555-0100,(218) 555-0101,Novelty Shop,,Dover,MN,Minnesota,United States,North America,Americas,Northern America
1030,Chompoo Atitarn,(603) 555-0100,(603) 555-0101,Computer Store,,Ashland,NH,New Hampshire,United States,North America,Americas,Northern America
1031,Dipti Shah,(216) 555-0100,(216) 555-0101,Gift Store,,Scioto Furnace,OH,Ohio,United States,North America,Americas,Northern America
1032,Som Mukherjee,(385) 555-0100,(385) 555-0101,Novelty Shop,,Moroni,UT,Utah,United States,North America,Americas,Northern America
1033,Cuneyt Arslan,(405) 555-0100,(405) 555-0101,Supermarket,,Komalty,OK,Oklahoma,United States,North America,Americas,Northern America
1034,Aishwarya Dantuluri,(209) 555-0100,(209) 555-0101,Novelty Shop,,Biggs,CA,California,United States,North America,Americas,Northern America
1035,Manjunatha Karnik,(405) 555-0100,(405) 555-0101,Computer Store,,Wright City,OK,Oklahoma,United States,North America,Americas,Northern America
1036,Erik Malk,(406) 555-0100,(406) 555-0101,Computer Store,,Basin,MT,Montana,United States,North America,Americas,Northern America
1037,David Jaramillo,(803) 555-0100,(803) 555-0101,Corporate,,Ridgeway,SC,South Carolina,United States,North America,Americas,Northern America
1038,Damodara Trivedi,(210) 555-0100,(210) 555-0101,Gift Store,,Tarzan,TX,Texas,United States,North America,Americas,Northern America
1039,Bhaamini Palagummi,(212) 555-0100,(212) 555-0101,Gift Store,,Lake Mohegan,NY,New York,United States,North America,Americas,Northern America
1040,Damodar Shenoy,(229) 555-0100,(229) 555-0101,Novelty Shop,,Scott,GA,Georgia,United States,North America,Americas,Northern America
1041,Tomo Vidovic,(207) 555-0100,(207) 555-0101,Supermarket,,Tremont,ME,Maine,United States,North America,Americas,Northern America
1042,Nguyen Banh,(239) 555-0100,(239) 555-0101,Novelty Shop,,Florahome,FL,Florida,United States,North America,Americas,Northern America
1043,Raj Verma,(203) 555-0100,(203) 555-0101,Corporate,,Colebrook,CT,Connecticut,United States,North America,Americas,Northern America
1044,Hanita Nookala,(225) 555-0100,(225) 555-0101,Novelty Shop,,Meaux,LA,Louisiana,United States,North America,Americas,Northern America
1045,Matteo Cattaneo,(229) 555-0100,(229) 555-0101,Supermarket,,Nicholson,GA,Georgia,United States,North America,Americas,Northern America
1046,Christian Couet,(212) 555-0100,(212) 555-0101,Computer Store,,Great Neck,NY,New York,United States,North America,Americas,Northern America
1047,Ivana Hadrabova,(603) 555-0100,(603) 555-0101,Computer Store,,Lancaster,NH,New Hampshire,United States,North America,Americas,Northern America
1048,Abhra Ganguly,(212) 555-0100,(212) 555-0101,Gift Store,,Walker Valley,NY,New York,United States,North America,Americas,Northern America
1049,Amet Shergill,(303) 555-0100,(303) 555-0101,Corporate,,Yampa,CO,Colorado,United States,North America,Americas,Northern America
1050,Amrita Ganguly,(787) 555-0100,(787) 555-0101,Supermarket,,Palmas del Mar,PR,Puerto Rico (US Territory),United States,North America,Americas,Northern America
1051,Sylvie Laramee,(787) 555-0100,(787) 555-0101,Gift Store,,Isabela,PR,Puerto Rico (US Territory),United States,North America,Americas,Northern America
1052,Ian Olofsson,(339) 555-0100,(339) 555-0101,Supermarket,,Liberty Plain,MA,Massachusetts[E],United States,North America,Americas,Northern America
1053,Luis Saucedo,(210) 555-0100,(210) 555-0101,Computer Store,,Linden,TX,Texas,United States,North America,Americas,Northern America
1054,Emma Salpa,(205) 555-0100,(205) 555-0101,Supermarket,,Rogersville,AL,Alabama,United States,North America,Americas,Northern America
1055,Adriana Pena,(252) 555-0100,(252) 555-0101,Computer Store,,Roberta Mill,NC,North Carolina,United States,North America,Americas,Northern America
1056,Kalyani Benjaree,(212) 555-0100,(212) 555-0101,Corporate,,Bowmansville,NY,New York,United States,North America,Americas,Northern America
1057,Ganesh Majumdar,(217) 555-0100,(217) 555-0101,Computer Store,,Orland Hills,IL,Illinois,United States,North America,Americas,Northern America
1058,Jaroslav Fisar,(215) 555-0100,(215) 555-0101,Gift Store,,Sigel,PA,Pennsylvania,United States,North America,Americas,Northern America
1059,Jibek Juniskyzy,(217) 555-0100,(217) 555-0101,Supermarket,,Ellisville,IL,Illinois,United States,North America,Americas,Northern America
1060,Anand Mudaliyar,(206) 555-0100,(206) 555-0101,Corporate,,Midland,WA,Washington,United States,North America,Americas,Northern America
1061,Agrita Abele,(206) 555-0100,(206) 555-0101,Computer Store,,Long Beach,WA,Washington,United States,North America,Americas,Northern America
